1|AC|AIRCEL|Aircel Ltd.
2|AT|AIRTEL|Bharti Airtel Ltd.
3|CC|CELLONE CDMA|Bharat Sanchar Nigam Ltd.
4|CG|CELLONE GSM|Bharat Sanchar Nigam Ltd.
5|DC|DATACOM|Now renamed as Videocon Mobile Services.
6|DP|DOLPHIN|Mahanagar Telephone Nigam Ltd.
7|ET|ETISALAT|Getting into the market as Cheers Mobile.
8|ID|IDEA|Idea Cellular Ltd.
9|LM|LOOP MOBILE|Loop Telecom Ltd.
10|MT|MTS CDMA|Sistema Shyam TeleServices Ltd.
11|PG|PING CDMA|HFCL Infotel Ltd.
12|RC|RELIANCE CDMA|Reliance Communication Ltd.
13|RG|RELIANCE GSM|Reliance Communication Ltd.
14|SP|SPICE|Spice Communications Limited.
15|ST|S TEL|S Tel Pvt. Ltd.
16|T24|T24 (BIG BAZAAR)|TATA Teleservices Ltd. (Franchisee model)
17|TD|TATA DOCOMO|TATA Teleservices Ltd.
18|TI|TATA INDICOM|TATA Teleservices Ltd.
19|UN|UNINOR|Telenor Unitech Ltd.
20|VC|VIRGIN MOBILE CDMA|TATA Teleservices Ltd. (Franchisee model)
21|VG|VIRGIN MOBILE GSM|TATA Teleservices Ltd. (Franchisee model)
22|VF|VODAFONE|Vodafone Essar Ltd.
